nodeID,Betweenness,Closeness,Katz,Community
1081,0.0010837269473676513,0.22026590010779734,1.0115366720075822,7
1106,0.0016473147170776956,0.2199497667743093,1.0076735657963196,10
1112,0.005165931780460084,0.28170955882352944,1.1126575546257753,8
1116,0.0075219502337822135,0.3857772183763373,6.696361984849248,3
1121,5.0429814847816955e-5,0.22018678160919541,1.0078967508901602,18
1131,0.003230656047084413,0.38529226901319924,6.6963627484566235,3
1137,0.006514623250061308,0.21971326164874552,1.0114775989966969,9
1170,1.1995010075808463e-5,0.18120011823825008,1.0114557393896024,7
1178,3.500765903606322e-5,0.2201077199281867,1.011588088191134,7
1193,0.008667860836558485,0.28145087235996324,1.040745364448229,7
1195,1.9309869932011118e-4,0.2216998191681736,1.0117123654870817,10
1201,0.0031888956416353024,0.38529226901319924,6.696362396643133,3
1209,0.0012802150976670395,0.18430547203848466,1.0152443822827537,10
1216,0.0012119875880551455,0.1834230999401556,1.0075937311734997,10
1225,3.6067112483323345e-4,0.2264499445881049,1.0077492733590776,4
1233,0.0034896782601736972,0.38626339004410837,6.700830095241667,3
1245,0.032111213817617015,0.38994910941475824,6.700334863972991,3
1246,0.003323227061352001,0.1851963746223565,1.0191945537922875,2
1249,0,0.15279162512462613,1.0037893714476869,9
1256,0,0.22511935365405802,1.0116418604970459,10
1286,0,0.3850502512562814,6.692506650364999,3
1316,8.53333901985663e-4,0.1862089914945322,1.0114268905538726,10
1323,0.004344511874979172,0.18632218844984802,1.0153201914962453,1
1324,0.002379983042424562,0.1854765506807867,1.0230866564498668,2
1356,2.420326477518686e-4,0.2841910060268892,1.0781547311627413,4
1357,0.011225699712447822,0.28405931417979613,1.0447224621431008,2
1364,0.011176683832858863,0.22034507548526241,1.0114773501729157,10
1379,0,0.3850502512562814,6.6925066503649955,3
1393,6.219634854122907e-6,0.27927107061503414,1.029177605151318,10
1413,0.0034896782601736972,0.38626339004410837,6.700830095241664,3
1431,8.084636791094904e-4,0.38529226901319924,6.696661655171851,3
1445,0.0032413182782629092,0.38529226901319924,6.696362396441946,3
1462,0.001194265578681663,0.10913298914011038,1.0075931535405185,4
1467,2.665557794624103e-6,0.2797809219534459,1.0290837074975583,2
1468,0,0.3850502512562814,6.692506650365013,3
1475,0.0022179979477743176,0.22042430780294858,1.011587817358021,10
1479,0.0018080605452258842,0.18525234209731037,1.0076082740321233,10
1486,0.001119923529801019,0.28042086001829825,1.0411487519113913,18
1530,0.002403695397010213,0.2872539831302718,1.0527154596727766,10
1543,0.015484758340530346,0.3865069356872636,6.700355782631418,3
1546,0.006514623250061308,0.21971326164874552,1.0114775989966969,9
1560,0.004853980744010492,0.3855345911949686,6.696361986397152,3
1564,0.004506765108754675,0.22511935365405802,1.0077792238110057,10
1571,1.1319735434503691e-4,0.2810637322329207,1.0621261491608183,7
1586,0.0032069622000210868,0.2875234521575985,1.0609173440686919,10
1591,1.0555608866711447e-4,0.2247891455812248,1.015681793417569,10
1601,0.004311587043570501,0.22250453720508168,1.0077322157747048,10
1607,0.003345275032253249,0.15483708007072494,1.0075787419689113,10
1609,7.07853681016845e-5,0.2213795594077284,1.02350608639755,8
1611,0.003236431422306098,0.15390409239266883,1.007593100676806,10
1613,0.004700385380422481,0.3855345911949686,6.69636204124502,3
1616,0.001628655812515327,0.38529226901319924,6.696442147345042,3
1620,0.0011618277907501377,0.22026590010779734,1.0191447630183048,7
1626,0.007246537037144144,0.22454212454212455,1.023078968624894,2
